dataset_name,model_name,model_architecture,text_prompt,acc_base_zs,acc_base_zs_trans
WHURS19,CLIP,RN50,a low resolution aerial image of a,68.65671641791045,95.22388059701493
WHURS19,CLIP,RN50,a bad aerial image of the,68.05970149253731,93.43283582089552
WHURS19,CLIP,RN50,a bad aerial image of a,69.85074626865672,93.23383084577114
WHURS19,CLIP,RN50,a cropped aerial image of the,66.56716417910448,93.53233830845771
WHURS19,CLIP,RN50,a cropped aerial image of a,67.2636815920398,93.93034825870647
WHURS19,CLIP,RN50,a bright aerial image of the,69.05472636815921,94.5273631840796
WHURS19,CLIP,RN50,a bright aerial image of a,68.2587064676617,95.02487562189054
WHURS19,CLIP,RN50,a dark aerial image of the,67.86069651741293,94.82587064676616
WHURS19,CLIP,RN50,a dark aerial image of a,68.35820895522389,95.42288557213931
WHURS19,CLIP,RN50,a close-up aerial image of the,68.2587064676617,94.6268656716418
WHURS19,CLIP,RN50,a close-up aerial image of a,69.05472636815921,95.02487562189054
WHURS19,CLIP,RN50,a black and white aerial image of the,69.55223880597015,94.92537313432835
WHURS19,CLIP,RN50,a black and white aerial image of a,70.74626865671642,95.42288557213931
WHURS19,CLIP,RN50,a jpeg corrupted aerial image of the,64.97512437810946,93.13432835820896
WHURS19,CLIP,RN50,a jpeg corrupted aerial image of a,64.67661691542288,94.32835820895522
WHURS19,CLIP,RN50,a blurry aerial image of the,66.76616915422886,93.83084577114428
WHURS19,CLIP,RN50,a blurry aerial image of a,68.35820895522389,93.53233830845771
WHURS19,CLIP,RN50,a good aerial image of the,65.97014925373135,94.6268656716418
WHURS19,CLIP,RN50,a good aerial image of a,67.56218905472637,94.92537313432835
WHURS19,CLIP,RN50,an aerial image of the large,70.64676616915423,94.12935323383084
WHURS19,CLIP,RN50,an aerial image of a large,70.04975124378109,94.5273631840796
WHURS19,CLIP,RN50,an aerial image of the nice,68.65671641791045,94.42786069651741
WHURS19,CLIP,RN50,an aerial image of a nice,68.85572139303483,95.02487562189054
WHURS19,CLIP,RN50,an aerial image of the small,64.27860696517413,94.02985074626865
WHURS19,CLIP,RN50,an aerial image of a small,67.96019900497512,93.93034825870647
WHURS19,CLIP,RN50,an aerial image of the weird,69.65174129353234,94.02985074626865
WHURS19,CLIP,RN50,an aerial image of a weird,70.34825870646766,94.12935323383084
WHURS19,CLIP,RN50,an aerial image of the cool,68.75621890547264,95.22388059701493
WHURS19,CLIP,RN50,an aerial image of a cool,70.24875621890547,93.83084577114428
WHURS19,CLIP,RN50,a satellite image of many,66.66666666666667,90.54726368159204
WHURS19,CLIP,RN50,a satellite image of a,68.85572139303483,95.82089552238806
WHURS19,CLIP,RN50,a satellite image of the,68.1592039800995,93.13432835820896
WHURS19,CLIP,RN50,a satellite image of the hard to see,65.17412935323384,94.22885572139303
WHURS19,CLIP,RN50,a satellite image of a hard to see,66.56716417910448,95.5223880597015
WHURS19,CLIP,RN50,a low resolution satellite image of the,67.363184079602,92.03980099502488
WHURS19,CLIP,RN50,a low resolution satellite image of a,68.65671641791045,95.12437810945273
WHURS19,CLIP,RN50,a bad satellite image of the,69.95024875621891,92.03980099502488
WHURS19,CLIP,RN50,a bad satellite image of a,69.1542288557214,93.93034825870647
WHURS19,CLIP,RN50,a cropped satellite image of the,68.65671641791045,91.54228855721394
WHURS19,CLIP,RN50,a cropped satellite image of a,69.55223880597015,95.42288557213931
WHURS19,CLIP,RN50,a bright satellite image of the,64.57711442786069,91.64179104477611
WHURS19,CLIP,RN50,a bright satellite image of a,67.2636815920398,95.02487562189054
WHURS19,CLIP,RN50,a dark satellite image of the,66.06965174129353,93.93034825870647
WHURS19,CLIP,RN50,a dark satellite image of a,67.2636815920398,95.72139303482587
WHURS19,CLIP,RN50,a close-up satellite image of the,67.363184079602,92.43781094527363
WHURS19,CLIP,RN50,a close-up satellite image of a,66.86567164179104,94.12935323383084
WHURS19,CLIP,RN50,a black and white satellite image of the,67.46268656716418,95.22388059701493
WHURS19,CLIP,RN50,a black and white satellite image of a,67.2636815920398,95.72139303482587
WHURS19,CLIP,RN50,a jpeg corrupted satellite image of the,64.57711442786069,90.94527363184079
WHURS19,CLIP,RN50,a jpeg corrupted satellite image of a,62.48756218905473,92.636815920398
WHURS19,CLIP,RN50,a blurry satellite image of the,68.35820895522389,92.13930348258707
WHURS19,CLIP,RN50,a blurry satellite image of a,68.2587064676617,92.23880597014926
WHURS19,CLIP,RN50,a good satellite image of the,66.86567164179104,92.23880597014926
WHURS19,CLIP,RN50,a good satellite image of a,68.75621890547264,95.5223880597015
WHURS19,CLIP,RN50,a satellite image of the large,68.45771144278606,91.14427860696517
WHURS19,CLIP,RN50,a satellite image of a large,65.97014925373135,93.13432835820896
WHURS19,CLIP,RN50,a satellite image of the nice,68.55721393034825,93.93034825870647
WHURS19,CLIP,RN50,a satellite image of a nice,71.7412935323383,95.72139303482587
WHURS19,CLIP,RN50,a satellite image of the small,66.3681592039801,93.93034825870647
WHURS19,CLIP,RN50,a satellite image of a small,69.25373134328358,94.82587064676616
WHURS19,CLIP,RN50,a satellite image of the weird,66.86567164179104,95.32338308457712
WHURS19,CLIP,RN50,a satellite image of a weird,66.16915422885572,94.6268656716418
WHURS19,CLIP,RN50,a satellite image of the cool,67.46268656716418,94.82587064676616
WHURS19,CLIP,RN50,a satellite image of a cool,69.45273631840796,94.82587064676616
WHURS19,CLIP,ViT-B-32,a satellite photo of a,76.71641791044776,93.93034825870647
WHURS19,CLIP,ViT-B-32,a remote sensing image of many,79.0049751243781,94.92537313432835
WHURS19,CLIP,ViT-B-32,a remote sensing image of a,78.60696517412936,95.32338308457712
WHURS19,CLIP,ViT-B-32,a remote sensing image of the,77.81094527363184,87.2636815920398
WHURS19,CLIP,ViT-B-32,a remote sensing image of the hard to see,78.2089552238806,88.1592039800995
WHURS19,CLIP,ViT-B-32,a remote sensing image of a hard to see,78.30845771144278,88.2587064676617
WHURS19,CLIP,ViT-B-32,a low resolution remote sensing image of the,78.2089552238806,87.2636815920398
WHURS19,CLIP,ViT-B-32,a low resolution remote sensing image of a,79.30348258706468,89.95024875621891
WHURS19,CLIP,ViT-B-32,a bad remote sensing image of the,77.61194029850746,86.3681592039801
WHURS19,CLIP,ViT-B-32,a bad remote sensing image of a,77.41293532338308,86.46766169154229
WHURS19,CLIP,ViT-B-32,a cropped remote sensing image of the,77.91044776119404,87.2636815920398
WHURS19,CLIP,ViT-B-32,a cropped remote sensing image of a,78.80597014925372,90.34825870646766
WHURS19,CLIP,ViT-B-32,a bright remote sensing image of the,79.80099502487562,89.95024875621891
WHURS19,CLIP,ViT-B-32,a bright remote sensing image of a,79.90049751243781,90.24875621890547
WHURS19,CLIP,ViT-B-32,a dark remote sensing image of the,79.30348258706468,90.04975124378109
WHURS19,CLIP,ViT-B-32,a dark remote sensing image of a,78.90547263681592,90.24875621890547
WHURS19,CLIP,ViT-B-32,a close-up remote sensing image of the,75.22388059701493,87.06467661691542
WHURS19,CLIP,ViT-B-32,a close-up remote sensing image of a,76.41791044776119,87.16417910447761
WHURS19,CLIP,ViT-B-32,a black and white remote sensing image of the,77.41293532338308,90.14925373134328
WHURS19,CLIP,ViT-B-32,a black and white remote sensing image of a,77.01492537313433,87.363184079602
WHURS19,CLIP,ViT-B-32,a jpeg corrupted remote sensing image of the,77.01492537313433,88.75621890547264
WHURS19,CLIP,ViT-B-32,a jpeg corrupted remote sensing image of a,78.2089552238806,88.45771144278606
WHURS19,CLIP,ViT-B-32,a blurry remote sensing image of the,77.31343283582089,87.2636815920398
WHURS19,CLIP,ViT-B-32,a blurry remote sensing image of a,77.51243781094527,86.66666666666667
WHURS19,CLIP,ViT-B-32,a good remote sensing image of the,79.0049751243781,87.56218905472637
WHURS19,CLIP,ViT-B-32,a good remote sensing image of a,79.80099502487562,91.04477611940298
WHURS19,CLIP,ViT-B-32,a remote sensing image of the large,76.71641791044776,95.32338308457712
WHURS19,CLIP,ViT-B-32,a remote sensing image of a large,78.00995024875621,95.62189054726367
WHURS19,CLIP,ViT-B-32,a remote sensing image of the nice,80.69651741293532,90.44776119402985
WHURS19,CLIP,ViT-B-32,a remote sensing image of a nice,79.60199004975124,90.74626865671642
WHURS19,CLIP,ViT-B-32,a remote sensing image of the small,77.31343283582089,95.62189054726367
WHURS19,CLIP,ViT-B-32,a remote sensing image of a small,77.11442786069652,95.62189054726367
WHURS19,CLIP,ViT-B-32,a remote sensing image of the weird,76.51741293532338,90.44776119402985
WHURS19,CLIP,ViT-B-32,a remote sensing image of a weird,77.01492537313433,90.54726368159204
WHURS19,CLIP,ViT-B-32,a remote sensing image of the cool,80.49751243781094,90.24875621890547
WHURS19,CLIP,ViT-B-32,a remote sensing image of a cool,79.50248756218906,90.44776119402985
WHURS19,CLIP,ViT-B-32,an aerial image of many,75.62189054726367,92.93532338308458
WHURS19,CLIP,ViT-B-32,an aerial image of a,76.81592039800995,93.93034825870647
WHURS19,CLIP,ViT-B-32,an aerial image of the,74.92537313432835,89.55223880597015
WHURS19,CLIP,ViT-B-32,an aerial image of the hard to see,71.44278606965175,88.35820895522389
WHURS19,CLIP,ViT-B-32,an aerial image of a hard to see,74.82587064676616,89.65174129353234
WHURS19,CLIP,ViT-B-32,a low resolution aerial image of the,77.91044776119404,89.75124378109453
WHURS19,CLIP,ViT-B-32,a low resolution aerial image of a,79.30348258706468,94.32835820895522
WHURS19,CLIP,ViT-B-32,a bad aerial image of the,76.11940298507463,87.06467661691542
WHURS19,CLIP,ViT-B-32,a bad aerial image of a,78.1094527363184,87.66169154228855
WHURS19,CLIP,ViT-B-32,a cropped aerial image of the,75.02487562189054,89.85074626865672
WHURS19,CLIP,ViT-B-32,a cropped aerial image of a,77.61194029850746,89.85074626865672
WHURS19,CLIP,ViT-B-32,a bright aerial image of the,76.91542288557214,89.45273631840796
WHURS19,CLIP,ViT-B-32,a bright aerial image of a,78.90547263681592,94.12935323383084
WHURS19,CLIP,ViT-B-32,a dark aerial image of the,75.5223880597015,89.95024875621891
WHURS19,CLIP,ViT-B-32,a dark aerial image of a,79.1044776119403,93.93034825870647
WHURS19,CLIP,ViT-B-32,a close-up aerial image of the,75.12437810945273,94.6268656716418
WHURS19,CLIP,ViT-B-32,a close-up aerial image of a,76.01990049751244,94.12935323383084
WHURS19,CLIP,ViT-B-32,a black and white aerial image of the,71.94029850746269,87.86069651741293
WHURS19,CLIP,ViT-B-32,a black and white aerial image of a,75.02487562189054,87.96019900497512
WHURS19,CLIP,ViT-B-32,a jpeg corrupted aerial image of the,79.1044776119403,90.34825870646766
WHURS19,CLIP,ViT-B-32,a jpeg corrupted aerial image of a,80.59701492537313,94.82587064676616
WHURS19,CLIP,ViT-B-32,a blurry aerial image of the,76.01990049751244,89.35323383084577
WHURS19,CLIP,ViT-B-32,a blurry aerial image of a,78.2089552238806,89.35323383084577
WHURS19,CLIP,ViT-B-32,a good aerial image of the,76.71641791044776,89.95024875621891
WHURS19,CLIP,ViT-B-32,a good aerial image of a,78.80597014925372,95.02487562189054
WHURS19,CLIP,ViT-B-32,an aerial image of the large,76.71641791044776,94.22885572139303
WHURS19,CLIP,ViT-B-32,an aerial image of a large,77.81094527363184,93.73134328358209
WHURS19,CLIP,ViT-B-32,an aerial image of the nice,76.91542288557214,94.82587064676616
WHURS19,CLIP,ViT-B-32,an aerial image of a nice,80.09950248756219,95.12437810945273
WHURS19,CLIP,ViT-B-32,an aerial image of the small,73.83084577114428,94.5273631840796
WHURS19,CLIP,ViT-B-32,an aerial image of a small,75.5223880597015,94.42786069651741
WHURS19,CLIP,ViT-B-32,an aerial image of the weird,79.30348258706468,89.85074626865672
WHURS19,CLIP,ViT-B-32,an aerial image of a weird,80.0,90.54726368159204
WHURS19,CLIP,ViT-B-32,an aerial image of the cool,79.90049751243781,89.75124378109453
WHURS19,CLIP,ViT-B-32,an aerial image of a cool,80.49751243781094,90.34825870646766
WHURS19,CLIP,ViT-B-32,a satellite image of many,75.12437810945273,93.93034825870647
WHURS19,CLIP,ViT-B-32,a satellite image of a,76.21890547263682,93.53233830845771
WHURS19,CLIP,ViT-B-32,a satellite image of the,76.71641791044776,93.93034825870647
WHURS19,CLIP,ViT-B-32,a satellite image of the hard to see,74.72636815920399,86.46766169154229
WHURS19,CLIP,ViT-B-32,a satellite image of a hard to see,75.92039800995025,94.12935323383084
WHURS19,CLIP,ViT-B-32,a low resolution satellite image of the,79.20398009950249,89.75124378109453
WHURS19,CLIP,ViT-B-32,a low resolution satellite image of a,78.60696517412936,94.72636815920399
WHURS19,CLIP,ViT-B-32,a bad satellite image of the,77.71144278606965,87.76119402985074
WHURS19,CLIP,ViT-B-32,a bad satellite image of a,78.1094527363184,87.66169154228855
WHURS19,CLIP,ViT-B-32,a cropped satellite image of the,78.30845771144278,89.35323383084577
WHURS19,CLIP,ViT-B-32,a cropped satellite image of a,77.81094527363184,94.6268656716418
WHURS19,CLIP,ViT-B-32,a bright satellite image of the,76.71641791044776,86.3681592039801
WHURS19,CLIP,ViT-B-32,a bright satellite image of a,76.61691542288557,93.93034825870647
WHURS19,CLIP,ViT-B-32,a dark satellite image of the,76.81592039800995,87.2636815920398
WHURS19,CLIP,ViT-B-32,a dark satellite image of a,77.01492537313433,86.66666666666667
WHURS19,CLIP,ViT-B-32,a close-up satellite image of the,75.92039800995025,89.25373134328358
WHURS19,CLIP,ViT-B-32,a close-up satellite image of a,74.72636815920399,94.02985074626865
WHURS19,CLIP,ViT-B-32,a black and white satellite image of the,77.51243781094527,89.75124378109453
WHURS19,CLIP,ViT-B-32,a black and white satellite image of a,78.00995024875621,88.75621890547264
WHURS19,CLIP,ViT-B-32,a jpeg corrupted satellite image of the,79.60199004975124,90.14925373134328
WHURS19,CLIP,ViT-B-32,a jpeg corrupted satellite image of a,79.60199004975124,90.34825870646766
WHURS19,CLIP,ViT-B-32,a blurry satellite image of the,78.1094527363184,87.46268656716418
WHURS19,CLIP,ViT-B-32,a blurry satellite image of a,77.71144278606965,90.14925373134328
WHURS19,CLIP,ViT-B-32,a good satellite image of the,77.51243781094527,94.72636815920399
WHURS19,CLIP,ViT-B-32,a good satellite image of a,76.91542288557214,94.12935323383084
WHURS19,CLIP,ViT-B-32,a satellite image of the large,78.2089552238806,93.83084577114428
WHURS19,CLIP,ViT-B-32,a satellite image of a large,76.71641791044776,94.22885572139303
WHURS19,CLIP,ViT-B-32,a satellite image of the nice,78.80597014925372,93.93034825870647
WHURS19,CLIP,ViT-B-32,a satellite image of a nice,78.00995024875621,94.42786069651741
WHURS19,CLIP,ViT-B-32,a satellite image of the small,75.92039800995025,94.32835820895522
WHURS19,CLIP,ViT-B-32,a satellite image of a small,76.31840796019901,94.5273631840796
WHURS19,CLIP,ViT-B-32,a satellite image of the weird,79.30348258706468,94.12935323383084
WHURS19,CLIP,ViT-B-32,a satellite image of a weird,77.31343283582089,94.5273631840796
WHURS19,CLIP,ViT-B-32,a satellite image of the cool,80.39800995024876,94.92537313432835
WHURS19,CLIP,ViT-B-32,a satellite image of a cool,76.51741293532338,94.42786069651741
WHURS19,CLIP,ViT-L-14,a satellite photo of a,85.07462686567165,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of many,79.40298507462687,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of a,84.37810945273633,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of the,83.58208955223881,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of the hard to see,80.19900497512438,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of a hard to see,81.99004975124379,99.20398009950249
WHURS19,CLIP,ViT-L-14,a low resolution remote sensing image of the,84.37810945273633,99.1044776119403
WHURS19,CLIP,ViT-L-14,a low resolution remote sensing image of a,85.3731343283582,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bad remote sensing image of the,80.09950248756219,99.0049751243781
WHURS19,CLIP,ViT-L-14,a bad remote sensing image of a,82.48756218905473,99.20398009950249
WHURS19,CLIP,ViT-L-14,a cropped remote sensing image of the,84.17910447761194,99.20398009950249
WHURS19,CLIP,ViT-L-14,a cropped remote sensing image of a,85.17412935323384,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bright remote sensing image of the,82.48756218905473,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bright remote sensing image of a,83.48258706467662,99.1044776119403
WHURS19,CLIP,ViT-L-14,a dark remote sensing image of the,84.67661691542288,99.20398009950249
WHURS19,CLIP,ViT-L-14,a dark remote sensing image of a,85.97014925373135,99.1044776119403
WHURS19,CLIP,ViT-L-14,a close-up remote sensing image of the,83.98009950248756,99.1044776119403
WHURS19,CLIP,ViT-L-14,a close-up remote sensing image of a,84.97512437810946,99.1044776119403
WHURS19,CLIP,ViT-L-14,a black and white remote sensing image of the,82.58706467661692,99.1044776119403
WHURS19,CLIP,ViT-L-14,a black and white remote sensing image of a,81.49253731343283,99.30348258706468
WHURS19,CLIP,ViT-L-14,a jpeg corrupted remote sensing image of the,82.58706467661692,99.30348258706468
WHURS19,CLIP,ViT-L-14,a jpeg corrupted remote sensing image of a,85.07462686567165,99.30348258706468
WHURS19,CLIP,ViT-L-14,a blurry remote sensing image of the,80.79601990049751,99.0049751243781
WHURS19,CLIP,ViT-L-14,a blurry remote sensing image of a,81.99004975124379,99.20398009950249
WHURS19,CLIP,ViT-L-14,a good remote sensing image of the,83.08457711442786,99.1044776119403
WHURS19,CLIP,ViT-L-14,a good remote sensing image of a,83.58208955223881,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of the large,80.79601990049751,99.20398009950249
WHURS19,CLIP,ViT-L-14,a remote sensing image of a large,82.28855721393035,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of the nice,83.18407960199005,98.60696517412936
WHURS19,CLIP,ViT-L-14,a remote sensing image of a nice,82.88557213930348,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of the small,82.58706467661692,99.1044776119403
WHURS19,CLIP,ViT-L-14,a remote sensing image of a small,82.68656716417911,99.20398009950249
WHURS19,CLIP,ViT-L-14,a remote sensing image of the weird,82.98507462686567,98.60696517412936
WHURS19,CLIP,ViT-L-14,a remote sensing image of a weird,82.08955223880596,98.80597014925372
WHURS19,CLIP,ViT-L-14,a remote sensing image of the cool,80.69651741293532,98.60696517412936
WHURS19,CLIP,ViT-L-14,a remote sensing image of a cool,80.69651741293532,98.90547263681592
WHURS19,CLIP,ViT-L-14,an aerial image of many,80.09950248756219,98.90547263681592
WHURS19,CLIP,ViT-L-14,an aerial image of a,84.27860696517413,99.1044776119403
WHURS19,CLIP,ViT-L-14,an aerial image of the,77.71144278606965,99.1044776119403
WHURS19,CLIP,ViT-L-14,an aerial image of the hard to see,79.20398009950249,99.1044776119403
WHURS19,CLIP,ViT-L-14,an aerial image of a hard to see,80.39800995024876,99.20398009950249
WHURS19,CLIP,ViT-L-14,a low resolution aerial image of the,79.40298507462687,99.0049751243781
WHURS19,CLIP,ViT-L-14,a low resolution aerial image of a,83.98009950248756,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bad aerial image of the,75.62189054726367,98.70646766169155
WHURS19,CLIP,ViT-L-14,a bad aerial image of a,79.50248756218906,98.90547263681592
WHURS19,CLIP,ViT-L-14,a cropped aerial image of the,78.1094527363184,98.90547263681592
WHURS19,CLIP,ViT-L-14,a cropped aerial image of a,82.18905472636816,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bright aerial image of the,79.50248756218906,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bright aerial image of a,83.88059701492537,99.1044776119403
WHURS19,CLIP,ViT-L-14,a dark aerial image of the,77.91044776119404,99.20398009950249
WHURS19,CLIP,ViT-L-14,a dark aerial image of a,83.78109452736318,99.1044776119403
WHURS19,CLIP,ViT-L-14,a close-up aerial image of the,78.90547263681592,99.1044776119403
WHURS19,CLIP,ViT-L-14,a close-up aerial image of a,83.18407960199005,99.1044776119403
WHURS19,CLIP,ViT-L-14,a black and white aerial image of the,80.09950248756219,99.1044776119403
WHURS19,CLIP,ViT-L-14,a black and white aerial image of a,83.58208955223881,99.20398009950249
WHURS19,CLIP,ViT-L-14,a jpeg corrupted aerial image of the,76.71641791044776,99.30348258706468
WHURS19,CLIP,ViT-L-14,a jpeg corrupted aerial image of a,82.28855721393035,99.20398009950249
WHURS19,CLIP,ViT-L-14,a blurry aerial image of the,78.30845771144278,98.80597014925372
WHURS19,CLIP,ViT-L-14,a blurry aerial image of a,80.39800995024876,99.1044776119403
WHURS19,CLIP,ViT-L-14,a good aerial image of the,78.70646766169155,99.0049751243781
WHURS19,CLIP,ViT-L-14,a good aerial image of a,81.49253731343283,99.30348258706468
WHURS19,CLIP,ViT-L-14,an aerial image of the large,77.61194029850746,98.90547263681592
WHURS19,CLIP,ViT-L-14,an aerial image of a large,80.49751243781094,99.1044776119403
WHURS19,CLIP,ViT-L-14,an aerial image of the nice,78.60696517412936,98.60696517412936
WHURS19,CLIP,ViT-L-14,an aerial image of a nice,83.18407960199005,99.0049751243781
WHURS19,CLIP,ViT-L-14,an aerial image of the small,79.30348258706468,99.1044776119403
WHURS19,CLIP,ViT-L-14,an aerial image of a small,82.38805970149254,99.20398009950249
WHURS19,CLIP,ViT-L-14,an aerial image of the weird,82.58706467661692,98.70646766169155
WHURS19,CLIP,ViT-L-14,an aerial image of a weird,83.18407960199005,98.90547263681592
WHURS19,CLIP,ViT-L-14,an aerial image of the cool,80.59701492537313,98.80597014925372
WHURS19,CLIP,ViT-L-14,an aerial image of a cool,81.59203980099502,98.90547263681592
WHURS19,CLIP,ViT-L-14,a satellite image of many,85.77114427860697,98.80597014925372
WHURS19,CLIP,ViT-L-14,a satellite image of a,85.97014925373135,99.1044776119403
WHURS19,CLIP,ViT-L-14,a satellite image of the,83.18407960199005,99.1044776119403
WHURS19,CLIP,ViT-L-14,a satellite image of the hard to see,83.68159203980099,99.1044776119403
WHURS19,CLIP,ViT-L-14,a satellite image of a hard to see,84.87562189054727,99.1044776119403
WHURS19,CLIP,ViT-L-14,a low resolution satellite image of the,83.78109452736318,99.20398009950249
WHURS19,CLIP,ViT-L-14,a low resolution satellite image of a,86.06965174129353,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bad satellite image of the,82.28855721393035,99.30348258706468
WHURS19,CLIP,ViT-L-14,a bad satellite image of a,82.98507462686567,99.1044776119403
WHURS19,CLIP,ViT-L-14,a cropped satellite image of the,84.57711442786069,99.20398009950249
WHURS19,CLIP,ViT-L-14,a cropped satellite image of a,85.27363184079601,99.1044776119403
WHURS19,CLIP,ViT-L-14,a bright satellite image of the,84.57711442786069,99.20398009950249
WHURS19,CLIP,ViT-L-14,a bright satellite image of a,86.3681592039801,99.20398009950249
WHURS19,CLIP,ViT-L-14,a dark satellite image of the,82.98507462686567,99.20398009950249
WHURS19,CLIP,ViT-L-14,a dark satellite image of a,87.46268656716418,99.1044776119403
WHURS19,CLIP,ViT-L-14,a close-up satellite image of the,84.67661691542288,99.1044776119403
WHURS19,CLIP,ViT-L-14,a close-up satellite image of a,86.3681592039801,99.1044776119403
WHURS19,CLIP,ViT-L-14,a black and white satellite image of the,85.4726368159204,99.1044776119403
WHURS19,CLIP,ViT-L-14,a black and white satellite image of a,85.17412935323384,99.1044776119403
WHURS19,CLIP,ViT-L-14,a jpeg corrupted satellite image of the,80.29850746268657,99.20398009950249
WHURS19,CLIP,ViT-L-14,a jpeg corrupted satellite image of a,84.57711442786069,99.20398009950249
WHURS19,CLIP,ViT-L-14,a blurry satellite image of the,81.99004975124379,99.20398009950249
WHURS19,CLIP,ViT-L-14,a blurry satellite image of a,82.38805970149254,99.20398009950249
WHURS19,CLIP,ViT-L-14,a good satellite image of the,83.08457711442786,99.20398009950249
WHURS19,CLIP,ViT-L-14,a good satellite image of a,86.26865671641791,99.20398009950249
WHURS19,CLIP,ViT-L-14,a satellite image of the large,82.88557213930348,99.0049751243781
WHURS19,CLIP,ViT-L-14,a satellite image of a large,83.08457711442786,99.1044776119403
WHURS19,CLIP,ViT-L-14,a satellite image of the nice,82.28855721393035,99.20398009950249
